#### Angles of U/V/W unit vectors wrt X-axis [deg]
#
ANGLES: 0.0 -120.0 -60.0
#
#### Length of pad's edges [mm]
#
DIAMOND SIZE: 1.0
#
#### Offset in [mm] of the reference point wrt X-Y plane origin
#
REFERENCE POINT: -52.395 53.250 
#
#### Electron drift velocity [cm/us]
#
DRIFT VELOCITY: 1.0
#
#### Electronics sampling rate [MHz] (eg. (512 cells)/(25 MHz)/(1cm/us) = 20.48 cm window can be recorded, length of drift cage is 20 cm)
#
SAMPLING RATE: 25.0
#
#### Electronics beam "t0" trigger delay [us]   (eg. (512 cells/2)/(25 MHz) = 10.24 us delay is needed for the beam entering in the middle of the drift cage at t=0)
#
TRIGGER DELAY: 10.24
#
#### Acceptance of drift cage along Z-axis (cathode has the highest Z, beam axis has Z=0 by definition)
#
DRIFT CAGE ACCEPTANCE: -100.0 100.0
#
#### Columns: Strip_direction / Strip_number / AGET_id / AGET_ch / pad_pitch_offset / strip_pitch_offset
#
V	69	2	4	-14.5	68	52
V	70	1	58	-13	69	50
V	71	2	6	-11.5	70	48
V	72	1	56	-10	71	46
V	73	2	8	-8.5	72	44
V	74	1	54	-7	73	42
V	75	2	10	-5.5	74	40
V	76	1	52	-4	75	38
V	77	2	12	-2.5	76	36
V	78	1	50	-1	77	34
V	79	2	14	0.5	78	32
V	80	1	48	2	79	30
V	81	2	16	3.5	80	28
V	82	1	46	5	81	26
V	83	2	18	6.5	82	24
V	84	1	44	8	83	22
V	85	2	20	9.5	84	20
V	86	1	42	11	85	18
V	87	2	22	12.5	86	16
V	88	1	40	14	87	14
V	89	2	24	15.5	88	12
V	90	1	38	17	89	10
V	91	2	26	18.5	90	8
V	92	1	36	20	91	6
W	1	0	21	28	-55	6
W	2	3	43	27.5	-54	8
W	3	0	23	27	-53	10
W	4	3	41	26.5	-52	12
W	5	0	25	26	-51	14
W	6	3	39	25.5	-50	16
W	7	0	27	25	-49	18
W	8	3	37	24.5	-48	20
W	9	0	29	24	-47	22
W	10	3	35	23.5	-46	24
W	11	0	31	23	-45	26
W	12	3	33	22.5	-44	28
W	13	0	33	22	-43	30
W	14	3	31	21.5	-42	32
W	15	0	35	21	-41	34
W	16	3	29	20.5	-40	36
W	17	0	37	20	-39	38
W	18	3	27	19.5	-38	40
W	19	0	39	19	-37	42
W	20	3	25	18.5	-36	44
W	21	0	41	18	-35	46
W	22	3	23	17.5	-34	48
W	23	0	43	17	-33	50
W	24	3	21	16.5	-32	52
W	25	0	45	16	-31	54
W	26	3	19	15.5	-30	56
W	27	0	47	15	-29	58
W	28	3	17	14.5	-28	60
W	29	0	49	14	-27	62
W	30	3	15	13.5	-26	64
W	31	0	51	13	-25	66
W	32	3	13	12.5	-24	67
W	33	0	53	12	-23	68
W	34	3	11	11.5	-22	69
W	35	0	55	11	-21	70
W	36	3	9	10.5	-20	71
W	37	0	57	10	-19	71
W	38	3	7	9.5	-18	71
W	39	0	59	9	-17	71
W	40	3	5	8.5	-16	71
W	41	0	61	8	-15	71
W	42	3	3	7.5	-14	71
W	43	0	63	7	-13	71
W	44	3	1	6.5	-12	71
W	45	0	62	6	-11	71
W	46	3	0	5.5	-10	71
W	47	0	60	5	-9	71
W	48	3	2	4.5	-8	71
W	49	0	58	4	-7	71
W	50	3	4	3.5	-6	71
W	51	0	56	3	-5	71
W	52	3	6	2.5	-4	71
W	53	0	54	2	-3	71
W	54	3	8	1.5	-2	71
W	55	0	52	1	-1	71
W	56	3	10	0.5	0	71
W	57	0	50	1	1	70
W	58	3	12	1.5	2	69
W	59	0	48	2	3	68
W	60	3	14	2.5	4	67
W	61	0	46	3	5	66
W	62	3	16	3.5	6	65
W	63	0	44	5	7	63
W	64	3	18	6.5	8	61
W	65	0	42	8	9	59
W	66	3	20	9.5	10	57
W	67	0	40	11	11	55
W	68	3	22	12.5	12	53
W	69	0	38	14	13	51
W	70	3	24	15.5	14	49
W	71	0	36	17	15	47
W	72	3	26	18.5	16	45
W	73	0	34	20	17	43
W	74	3	28	21.5	18	41
W	75	0	32	23	19	39
W	76	3	30	24.5	20	37
W	77	0	30	26	21	35
W	78	3	32	27.5	22	33
W	79	0	28	29	23	31
W	80	3	34	30.5	24	29
W	81	0	26	32	25	27
W	82	3	36	33.5	26	25
W	83	0	24	35	27	23
W	84	3	38	36.5	28	21
W	85	0	22	38	29	19
W	86	3	40	39.5	30	17
W	87	0	20	41	31	15
W	88	3	42	42.5	32	13
W	89	0	18	44	33	11
W	90	3	44	45.5	34	9
W	91	0	16	47	35	7
W	92	3	46	48.5	36	5
