# ==================================================================
#              SRIM version ---> SRIM-2013.00
#              Calc. date   ---> March 18, 2022 
# ==================================================================
#
# Disk File Name = SRIM Outputs\carbon14_CO2_250mbar.txt
#
# Ion = Carbon [6] , Mass = 14 amu
#
# Target Density =  4.5375E-04 g/cm3 = 1.8627E+19 atoms/cm3
# Target is a GAS 
# ======= Target  Composition ========
#    Atom   Atom   Atomic    Mass     
#    Name   Numb   Percent   Percent  
#    ----   ----   -------   -------  
#      C      6    033.33    027.29   
#      O      8    066.67    072.71   
# ====================================
# Bragg Correction = -3.46%
# Stopping Units = 1E3 keV /1E3 um       
# See bottom of Table for other Stopping units 
#
#        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#       Energy      Elec.      Nuclear     Range     Straggling   Straggling
#  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.982E-02  3.278E-02  150.91 um    62.78 um    44.97 um  
  11.00 keV   2.078E-02  3.198E-02  165.66 um    67.75 um    48.68 um  
  12.00 keV   2.171E-02  3.121E-02  180.48 um    72.61 um    52.36 um  
  13.00 keV   2.260E-02  3.048E-02  195.36 um    77.38 um    56.01 um  
  14.00 keV   2.345E-02  2.979E-02  210.28 um    82.05 um    59.64 um  
  15.00 keV   2.427E-02  2.913E-02  225.23 um    86.63 um    63.24 um  
  16.00 keV   2.507E-02  2.850E-02  240.23 um    91.12 um    66.82 um  
  17.00 keV   2.584E-02  2.790E-02  255.24 um    95.53 um    70.38 um  
  18.00 keV   2.659E-02  2.733E-02  270.28 um    99.86 um    73.91 um  
  20.00 keV   2.803E-02  2.627E-02  300.41 um   108.27 um    80.92 um  
  22.50 keV   2.973E-02  2.507E-02  338.11 um   118.37 um    89.55 um  
  25.00 keV   3.133E-02  2.399E-02  375.77 um   128.03 um    98.02 um  
  27.50 keV   3.286E-02  2.301E-02  413.36 um   137.29 um   106.33 um  
  30.00 keV   3.439E-02  2.213E-02  450.81 um   146.15 um   114.48 um  
  32.50 keV   3.584E-02  2.132E-02  488.08 um   154.63 um   122.47 um  
  35.00 keV   3.720E-02  2.057E-02  525.15 um   162.78 um   130.29 um  
  37.50 keV   3.849E-02  1.989E-02  562.04 um   170.61 um   137.96 um  
  40.00 keV   3.972E-02  1.926E-02  598.73 um   178.15 um   145.46 um  
  45.00 keV   4.198E-02  1.813E-02  671.60 um   192.51 um   160.04 um  
  50.00 keV   4.406E-02  1.714E-02  743.72 um   205.94 um   174.04 um  
  55.00 keV   4.597E-02  1.627E-02  815.11 um   218.55 um   187.51 um  
  60.00 keV   4.775E-02  1.550E-02  885.80 um   230.43 um   200.49 um  
  65.00 keV   4.943E-02  1.481E-02  955.78 um   241.65 um   213.01 um  
  70.00 keV   5.101E-02  1.419E-02    1.031E3 um   252.29 um   225.11 um  
  80.00 keV   5.397E-02  1.311E-02    1.161E3 um   272.25 um   248.15 um  
  90.00 keV   5.670E-02  1.220E-02    1.301E3 um   290.37 um   269.77 um  
 100.00 keV   5.927E-02  1.143E-02    1.431E3 um   306.95 um   290.14 um  
 110.00 keV   6.171E-02  1.076E-02    1.561E3 um   322.19 um   309.38 um  
 120.00 keV   6.404E-02  1.018E-02    1.681E3 um   336.27 um   327.59 um  
 130.00 keV   6.629E-02  9.662E-03    1.811E3 um   349.32 um   344.87 um  
 140.00 keV   6.845E-02  9.203E-03    1.931E3 um   361.47 um   361.30 um  
 150.00 keV   7.055E-02  8.791E-03    2.051E3 um   372.81 um   376.95 um  
 160.00 keV   7.260E-02  8.418E-03    2.161E3 um   383.43 um   391.88 um  
 170.00 keV   7.461E-02  8.080E-03    2.281E3 um   393.40 um   406.14 um  
 180.00 keV   7.657E-02  7.772E-03    2.391E3 um   402.77 um   419.79 um  
 200.00 keV   8.042E-02  7.228E-03    2.611E3 um   420.45 um   445.40 um  
 225.00 keV   8.512E-02  6.658E-03    2.881E3 um   440.23 um   474.63 um  
 250.00 keV   8.975E-02  6.181E-03    3.141E3 um   457.57 um   501.16 um  
 275.00 keV   9.433E-02  5.775E-03    3.381E3 um   472.89 um   525.37 um  
 300.00 keV   9.886E-02  5.424E-03    3.621E3 um   486.53 um   547.54 um  
 325.00 keV   1.033E-01  5.118E-03    3.841E3 um   498.75 um   567.93 um  
 350.00 keV   1.078E-01  4.848E-03    4.061E3 um   509.75 um   586.76 um  
 375.00 keV   1.121E-01  4.608E-03    4.281E3 um   519.70 um   604.19 um  
 400.00 keV   1.164E-01  4.393E-03    4.481E3 um   528.76 um   620.39 um  
 450.00 keV   1.247E-01  4.023E-03    4.871E3 um   545.94 um   649.58 um  
 500.00 keV   1.328E-01  3.717E-03    5.241E3 um   560.52 um   675.20 um  
 550.00 keV   1.406E-01  3.458E-03    5.591E3 um   573.06 um   697.92 um  
