# ==================================================================
#              SRIM version ---> SRIM-2013.00
#              Calc. date   ---> March 18, 2022 
# ==================================================================
#
# Disk File Name = SRIM Outputs\carbon14_CO2_250mbar.txt
#
# Ion = Carbon [6] , Mass = 14 amu
#
# Target Density =  4.5375E-04 g/cm3 = 1.8627E+19 atoms/cm3
# Target is a GAS 
# ======= Target  Composition ========
#    Atom   Atom   Atomic    Mass     
#    Name   Numb   Percent   Percent  
#    ----   ----   -------   -------  
#      C      6    033.33    027.29   
#      O      8    066.67    072.71   
# ====================================
# Bragg Correction = -3.46%
# Stopping Units = 1E3 keV /1E3 um       
# See bottom of Table for other Stopping units 
#
#        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
#       Energy      Elec.      Nuclear     Range     Straggling   Straggling
#  --------------  ---------- ---------- ----------  ----------  ----------
 600.00 keV   1.480E-01  3.236E-03    5.921E3 um   583.99 um   718.24 um  
 650.00 keV   1.552E-01  3.043E-03    6.241E3 um   593.62 um   736.54 um  
 700.00 keV   1.621E-01  2.874E-03    6.551E3 um   602.19 um   753.15 um  
 800.00 keV   1.752E-01  2.591E-03    7.121E3 um   619.41 um   782.22 um  
 900.00 keV   1.873E-01  2.363E-03    7.661E3 um   633.68 um   806.95 um  
   1.001E3 keV   1.985E-01  2.174E-03    8.171E3 um   645.77 um   828.35 um  
   1.101E3 keV   2.089E-01  2.016E-03    8.651E3 um   656.22 um   847.15 um  
   1.201E3 keV   2.186E-01  1.881E-03    9.111E3 um   665.40 um   863.85 um  
   1.301E3 keV   2.276E-01  1.765E-03    9.551E3 um   673.56 um   878.86 um  
   1.401E3 keV   2.359E-01  1.663E-03    9.971E3 um   680.91 um   892.47 um  
   1.501E3 keV   2.436E-01  1.573E-03   10.391E3 um   687.59 um   904.90 um  
   1.601E3 keV   2.508E-01  1.493E-03   10.791E3 um   693.71 um   916.34 um  
   1.701E3 keV   2.574E-01  1.422E-03   11.181E3 um   699.37 um   926.93 um  
   1.801E3 keV   2.635E-01  1.357E-03   11.561E3 um   704.64 um   936.80 um  
   2.001E3 keV   2.743E-01  1.246E-03   12.291E3 um   717.96 um   954.71 um  
   2.251E3 keV   2.854E-01  1.131E-03   13.181E3 um   734.85 um   974.40 um  
   2.501E3 keV   2.942E-01  1.037E-03   14.031E3 um   750.00 um   991.83 um  
   2.751E3 keV   3.011E-01  9.588E-04   14.871E3 um   763.85 um     1.011E3 um  
   3.001E3 keV   3.064E-01  8.921E-04   15.691E3 um   776.75 um     1.021E3 um  
   3.251E3 keV   3.103E-01  8.347E-04   16.491E3 um   788.90 um     1.041E3 um  
   3.501E3 keV   3.130E-01  7.848E-04   17.291E3 um   800.49 um     1.051E3 um  
   3.751E3 keV   3.148E-01  7.409E-04   18.091E3 um   811.64 um     1.061E3 um  
   4.001E3 keV   3.158E-01  7.019E-04   18.871E3 um   822.43 um     1.071E3 um  
#-----------------------------------------------------------
# Multiply Stopping by        for Stopping Units
# -------------------        ------------------
#  1.0000E-01                 eV / Angstrom 
#  1.0000E+00                keV / micron   
#  1.0000E+00               1E3 keV /1E3 um       
#  2.2039E+01                keV / (ug/cm2) 
#  2.2039E+01               1E3 keV / (mg/cm2) 
#  2.2039E+04                keV / (mg/cm2) 
#  5.3687E+02                 eV / (1E15 atoms/cm2)
#  7.8552E+00                L.S.S. reduced units
# ==================================================================
# (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
